00:00:00.000.002.500 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.000.115.300 M     <System.Windows.Message.Message(void*, uint, uint, long, long)
00:00:00.000.115.500 M     >System.Windows.Control.ProcessMessageInternal(Message&)
00:00:00.000.119.700 M      >System.Windows.Control.ProcessMessage(Message&)
00:00:00.000.119.900 M       >System.Windows.Control.DoPaint()
00:00:00.000.569.700 M        >System.Windows.Point.Point()
00:00:00.000.569.700 M        <System.Windows.Point.Point()
00:00:00.000.569.800 M        >System.Windows.Size.Size()
00:00:00.000.569.800 M        <System.Windows.Size.Size()
00:00:00.000.569.900 M        >System.Windows.Rect.Rect()
00:00:00.000.569.900 M        <System.Windows.Rect.Rect()
00:00:00.000.570.200 M        >System.Windows.PaintGuard.PaintGuard(void*, void*)
00:00:00.000.570.300 M        <System.Windows.PaintGuard.PaintGuard(void*, void*)
00:00:00.000.618.600 M        >System.Windows.Graphics.Graphics(void*)
00:00:00.000.619.200 M        <System.Windows.Graphics.Graphics(void*)
00:00:00.000.619.600 M        >System.Windows.PaintEventArgs.PaintEventArgs(Graphics&, const Rect&)
00:00:00.000.619.600 M        <System.Windows.PaintEventArgs.PaintEventArgs(Graphics&, const Rect&)
00:00:00.000.619.800 M        >System.Windows.Control.IsDecoratorControl() const
00:00:00.000.619.800 M        <System.Windows.Control.IsDecoratorControl() const
00:00:00.000.619.900 M        >System.Windows.Control.TranslateChildGraphics(Graphics&)
00:00:00.000.620.000 M         >System.Windows.Control.ParentControl() const
00:00:00.000.620.100 M          >System.Windows.Component.GetContainer() const
00:00:00.000.620.200 M          <System.Windows.Component.GetContainer() const
00:00:00.000.620.200 M          >System.Windows.Container.Parent() const
00:00:00.000.620.300 M          <System.Windows.Container.Parent() const
00:00:00.000.620.800 M         <System.Windows.Control.ParentControl() const
00:00:00.000.620.900 M         >System.Windows.Control.TranslateChildGraphics(Graphics&)
00:00:00.000.621.000 M          >System.Windows.Control.ParentControl() const
00:00:00.000.621.000 M           >System.Windows.Component.GetContainer() const
00:00:00.000.621.100 M           <System.Windows.Component.GetContainer() const
00:00:00.000.621.100 M          <System.Windows.Control.ParentControl() const
00:00:00.000.621.100 M         <System.Windows.Control.TranslateChildGraphics(Graphics&)
00:00:00.000.621.200 M        <System.Windows.Control.TranslateChildGraphics(Graphics&)
00:00:00.000.621.300 M        >System.Windows.Control.Focused() const
00:00:00.000.621.500 M        <System.Windows.Control.Focused() const
00:00:00.000.621.600 M        >System.Windows.MenuBar.OnPaint(PaintEventArgs&)
00:00:00.000.621.800 M         >System.Windows.Debug.Paint()
00:00:00.000.621.800 M         <System.Windows.Debug.Paint()
00:00:00.000.622.000 M         >System.Windows.MenuBar.MenuBoxAdded() const
00:00:00.000.622.100 M         <System.Windows.MenuBar.MenuBoxAdded() const
00:00:00.000.622.100 M         >System.Windows.Control.BackgroundColor() const
00:00:00.000.622.200 M         <System.Windows.Control.BackgroundColor() const
00:00:00.000.622.300 M         >System.Windows.Graphics.Clear(const Color&)
00:00:00.000.674.400 M         <System.Windows.Graphics.Clear(const Color&)
00:00:00.000.674.500 M         >System.Windows.MenuBar.MenuChanged()
00:00:00.000.674.500 M         <System.Windows.MenuBar.MenuChanged()
00:00:00.000.674.700 M         >System.Windows.Control.Location()
