00:00:00.000.001.900 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.000.041.100 M     <System.Windows.Message.Message(void*, uint, uint, long, long)
00:00:00.000.041.200 M     >System.Windows.Control.ProcessMessageInternal(Message&)
00:00:00.000.041.900 M      >System.Windows.Control.ProcessMessage(Message&)
00:00:00.000.042.000 M       >System.Windows.Control.DoPaint()
00:00:00.000.108.100 M        >System.Windows.Point.Point()
00:00:00.000.108.100 M        <System.Windows.Point.Point()
00:00:00.000.108.200 M        >System.Windows.Size.Size()
00:00:00.000.108.300 M        <System.Windows.Size.Size()
00:00:00.000.108.300 M        >System.Windows.Rect.Rect()
00:00:00.000.108.400 M        <System.Windows.Rect.Rect()
00:00:00.000.108.600 M        >System.Windows.PaintGuard.PaintGuard(void*, void*)
00:00:00.000.108.700 M        <System.Windows.PaintGuard.PaintGuard(void*, void*)
00:00:00.000.139.300 M        >System.Windows.Graphics.Graphics(void*)
00:00:00.000.139.700 M        <System.Windows.Graphics.Graphics(void*)
00:00:00.000.140.100 M        >System.Windows.PaintEventArgs.PaintEventArgs(Graphics&, const Rect&)
00:00:00.000.140.100 M        <System.Windows.PaintEventArgs.PaintEventArgs(Graphics&, const Rect&)
00:00:00.000.140.300 M        >System.Windows.Control.IsDecoratorControl() const
00:00:00.000.140.400 M        <System.Windows.Control.IsDecoratorControl() const
00:00:00.000.140.500 M        >System.Windows.Control.TranslateChildGraphics(Graphics&)
00:00:00.000.140.600 M         >System.Windows.Control.ParentControl() const
00:00:00.000.140.700 M          >System.Windows.Component.GetContainer() const
00:00:00.000.140.800 M          <System.Windows.Component.GetContainer() const
00:00:00.000.140.800 M          >System.Windows.Container.Parent() const
00:00:00.000.140.900 M          <System.Windows.Container.Parent() const
00:00:00.000.141.300 M         <System.Windows.Control.ParentControl() const
00:00:00.000.141.300 M         >System.Windows.Control.TranslateChildGraphics(Graphics&)
00:00:00.000.141.400 M          >System.Windows.Control.ParentControl() const
00:00:00.000.141.500 M           >System.Windows.Component.GetContainer() const
00:00:00.000.141.500 M           <System.Windows.Component.GetContainer() const
00:00:00.000.141.600 M          <System.Windows.Control.ParentControl() const
00:00:00.000.141.600 M         <System.Windows.Control.TranslateChildGraphics(Graphics&)
00:00:00.000.141.700 M        <System.Windows.Control.TranslateChildGraphics(Graphics&)
00:00:00.000.141.800 M        >System.Windows.Control.Focused() const
00:00:00.000.141.900 M        <System.Windows.Control.Focused() const
00:00:00.000.142.100 M        >System.Windows.MenuBar.OnPaint(PaintEventArgs&)
00:00:00.000.142.200 M         >System.Windows.Debug.Paint()
00:00:00.000.142.300 M         <System.Windows.Debug.Paint()
00:00:00.000.142.500 M         >System.Windows.MenuBar.MenuBoxAdded() const
00:00:00.000.142.500 M         <System.Windows.MenuBar.MenuBoxAdded() const
00:00:00.000.142.600 M         >System.Windows.Control.BackgroundColor() const
00:00:00.000.142.700 M         <System.Windows.Control.BackgroundColor() const
00:00:00.000.143.000 M         >System.Windows.Graphics.Clear(const Color&)
00:00:00.000.196.400 M         <System.Windows.Graphics.Clear(const Color&)
00:00:00.000.196.500 M         >System.Windows.MenuBar.MenuChanged()
00:00:00.000.196.600 M         <System.Windows.MenuBar.MenuChanged()
00:00:00.000.196.800 M         >System.Windows.Control.Location()
00:00:00.000.196.800 M         <System.Windows.Control.Location()
00:00:00.000.197.000 M         >System.Windows.MenuBar.DrawMenuItems(PaintEventArgs&, bool, const Point&)
00:00:00.000.197.200 M          >System.Windows.MenuControl.DefaultPadding() const
